Count,ServerTime,WorkerName,WorkerTime,ProcedureId,ActiveProcessingCount,Host_CPU,Host_Memory_Total,Host_Memory_Used,Host_Memory_UsedPercentage,Worker_CPU,Worker_Memory_Total,Worker_Memory_Used,Worker_Memory_UsedPercentage,ProcessingId_1,Processing_CPU_1,Processing_Memory_Total_1,Processing_Memory_Used_1,Processing_Memory_UsedPercentage_1,ProcessingId_2,Processing_CPU_2,Processing_Memory_Total_2,Processing_Memory_Used_2,Processing_Memory_UsedPercentage_2,ProcessingId_3,Processing_CPU_3,Processing_Memory_Total_3,Processing_Memory_Used_3,Processing_Memory_UsedPercentage_3
0,2025-03-14T05:37:53.950Z,rnp1,2025-03-14T05:38:20.649Z,2025-03-14-02-37-50@3,0,2.81,6209687552,802271232,12.92,2.42,6209687552,80564224,1.3,,,,,,,,,,,,,,,
1,2025-03-14T05:37:54.956Z,rnp1,2025-03-14T05:38:21.654Z,2025-03-14-02-37-50@3,0,2.03,6209687552,802271232,12.92,67.01,6209687552,76660736,1.23,,,,,,,,,,,,,,,
2,2025-03-14T05:37:55.961Z,rnp1,2025-03-14T05:38:22.658Z,2025-03-14-02-37-50@3,0,35.18,6209687552,804839424,12.96,12.56,6209687552,80920576,1.3,,,,,,,,,,,,,,,
3,2025-03-14T05:37:56.961Z,rnp1,2025-03-14T05:38:23.662Z,2025-03-14-02-37-50@3,0,5.56,6209687552,805617664,12.97,196.04,6209687552,117833728,1.9,,,,,,,,,,,,,,,
4,2025-03-14T05:37:57.970Z,rnp1,2025-03-14T05:38:24.668Z,2025-03-14-02-37-50@3,0,99.01,6209687552,842772480,13.57,154.4,6209687552,75358208,1.21,,,,,,,,,,,,,,,
5,2025-03-14T05:37:58.979Z,rnp1,2025-03-14T05:38:25.671Z,2025-03-14-02-37-50@3,0,83.25,6209687552,813883392,13.11,105.69,6209687552,119091200,1.92,,,,,,,,,,,,,,,
6,2025-03-14T05:37:59.975Z,rnp1,2025-03-14T05:38:26.676Z,2025-03-14-02-37-50@3,0,53,6209687552,840560640,13.54,198.24,6209687552,122437632,1.97,,,,,,,,,,,,,,,
7,2025-03-14T05:38:00.986Z,rnp1,2025-03-14T05:38:27.681Z,2025-03-14-02-37-50@3,0,100,6209687552,844890112,13.61,70.48,6209687552,82006016,1.32,,,,,,,,,,,,,,,
8,2025-03-14T05:38:01.988Z,rnp1,2025-03-14T05:38:28.689Z,2025-03-14-02-37-50@3,0,40.1,6209687552,819191808,13.19,36.62,6209687552,87846912,1.41,,,,,,,,,,,,,,,
9,2025-03-14T05:38:02.995Z,rnp1,2025-03-14T05:38:29.696Z,2025-03-14-02-37-50@3,0,17.2,6209687552,819302400,13.19,3.58,6209687552,87924736,1.42,,,,,,,,,,,,,,,
10,2025-03-14T05:38:04.001Z,rnp1,2025-03-14T05:38:30.701Z,2025-03-14-02-37-50@3,0,24.42,6209687552,818958336,13.19,2.01,6209687552,87924736,1.42,,,,,,,,,,,,,,,
11,2025-03-14T05:38:05.004Z,rnp1,2025-03-14T05:38:31.705Z,2025-03-14-02-37-50@3,0,22.22,6209687552,819130368,13.19,2.45,6209687552,87928832,1.42,,,,,,,,,,,,,,,
12,2025-03-14T05:38:06.012Z,rnp1,2025-03-14T05:38:32.712Z,2025-03-14-02-37-50@3,0,38.89,6209687552,819089408,13.19,2.51,6209687552,87900160,1.42,,,,,,,,,,,,,,,
13,2025-03-14T05:38:07.014Z,rnp1,2025-03-14T05:38:33.715Z,2025-03-14-02-37-50@3,0,74.14,6209687552,819523584,13.2,2.02,6209687552,87875584,1.42,,,,,,,,,,,,,,,
14,2025-03-14T05:38:08.020Z,rnp1,2025-03-14T05:38:34.721Z,2025-03-14-02-37-50@3,0,63.81,6209687552,837296128,13.48,2.36,6209687552,80252928,1.29,,,,,,,,,,,,,,,
15,2025-03-14T05:38:09.041Z,rnp1,2025-03-14T05:38:35.742Z,2025-03-14-02-37-50@3,2,91.03,6209687552,873648128,14.07,1.82,6209687552,80273408,1.29,22f19ddc-43a8-4289-99c8-91f72bc6d51f,71.06,6209687552,48959488,0.79,e9e5a68c-063f-48ef-a807-414ebb0e06b4,63.36,6209687552,77242368,1.24,,,,,
16,2025-03-14T05:38:10.069Z,rnp1,2025-03-14T05:38:36.769Z,2025-03-14-02-37-50@3,3,100,6209687552,955031552,15.38,1.82,6209687552,80277504,1.29,a4319950-3ba9-4c47-be53-944e34873341,68.07,6209687552,57495552,0.93,22f19ddc-43a8-4289-99c8-91f72bc6d51f,61.34,6209687552,75411456,1.21,e9e5a68c-063f-48ef-a807-414ebb0e06b4,64.59,6209687552,97632256,1.57
17,2025-03-14T05:38:11.090Z,rnp1,2025-03-14T05:38:37.790Z,2025-03-14-02-37-50@3,3,100,6209687552,1020788736,16.44,1.97,6209687552,80281600,1.29,a4319950-3ba9-4c47-be53-944e34873341,65.39,6209687552,78626816,1.27,22f19ddc-43a8-4289-99c8-91f72bc6d51f,62.79,6209687552,93229056,1.5,e9e5a68c-063f-48ef-a807-414ebb0e06b4,63.3,6209687552,114679808,1.85
18,2025-03-14T05:38:12.127Z,rnp1,2025-03-14T05:38:38.823Z,2025-03-14-02-37-50@3,3,100,6209687552,1078648832,17.37,2.35,6209687552,80285696,1.29,a4319950-3ba9-4c47-be53-944e34873341,61.86,6209687552,94240768,1.52,22f19ddc-43a8-4289-99c8-91f72bc6d51f,62.22,6209687552,112586752,1.81,e9e5a68c-063f-48ef-a807-414ebb0e06b4,60.1,6209687552,123867136,1.99
