Count,ServerTime,WorkerName,WorkerTime,ProcedureId,ActiveProcessingCount,Host_CPU,Host_Memory_Total,Host_Memory_Used,Host_Memory_UsedPercentage,Worker_CPU,Worker_Memory_Total,Worker_Memory_Used,Worker_Memory_UsedPercentage,ProcessingId_1,Processing_CPU_1,Processing_Memory_Total_1,Processing_Memory_Used_1,Processing_Memory_UsedPercentage_1,ProcessingId_2,Processing_CPU_2,Processing_Memory_Total_2,Processing_Memory_Used_2,Processing_Memory_UsedPercentage_2,ProcessingId_3,Processing_CPU_3,Processing_Memory_Total_3,Processing_Memory_Used_3,Processing_Memory_UsedPercentage_3
0,2025-03-14T05:37:53.946Z,w1,2025-03-14T05:38:20.640Z,2025-03-14-02-37-50@3,0,0.61,16595943424,972394496,5.86,10.61,16595943424,77623296,0.47,,,,,,,,,,,,,,,
1,2025-03-14T05:37:54.943Z,w1,2025-03-14T05:38:21.641Z,2025-03-14-02-37-50@3,0,1.38,16595943424,973684736,5.87,28.66,16595943424,99340288,0.6,,,,,,,,,,,,,,,
2,2025-03-14T05:37:55.948Z,w1,2025-03-14T05:38:22.645Z,2025-03-14-02-37-50@3,0,2.9,16595943424,983183360,5.92,202.21,16595943424,81649664,0.49,,,,,,,,,,,,,,,
3,2025-03-14T05:37:56.952Z,w1,2025-03-14T05:38:23.649Z,2025-03-14-02-37-50@3,0,26.65,16595943424,964554752,5.81,25.7,16595943424,83578880,0.5,,,,,,,,,,,,,,,
4,2025-03-14T05:37:57.954Z,w1,2025-03-14T05:38:24.652Z,2025-03-14-02-37-50@3,0,3.52,16595943424,965296128,5.82,24.09,16595943424,83243008,0.5,,,,,,,,,,,,,,,
5,2025-03-14T05:37:58.968Z,w1,2025-03-14T05:38:25.655Z,2025-03-14-02-37-50@3,3,53.17,16595943424,1208377344,7.28,0.78,16595943424,83234816,0.5,5528ca50-8e76-4954-9e3f-0a1966594417,100.23,16595943424,156192768,0.94,809fc872-c8fc-4239-8998-86df77d9fea1,100.23,16595943424,163438592,0.98,ebf0ebd4-bf73-4898-8c64-356f9bc081fd,100.24,16595943424,184373248,1.11
6,2025-03-14T05:37:59.966Z,w1,2025-03-14T05:38:26.659Z,2025-03-14-02-37-50@3,3,38.14,16595943424,1476472832,8.9,0.86,16595943424,83238912,0.5,5528ca50-8e76-4954-9e3f-0a1966594417,100.24,16595943424,280559616,1.69,809fc872-c8fc-4239-8998-86df77d9fea1,100.24,16595943424,288018432,1.74,ebf0ebd4-bf73-4898-8c64-356f9bc081fd,100.2,16595943424,304214016,1.83
7,2025-03-14T05:38:00.971Z,w1,2025-03-14T05:38:27.662Z,2025-03-14-02-37-50@3,3,37.72,16595943424,1828179968,11.02,0.8,16595943424,83243008,0.5,5528ca50-8e76-4954-9e3f-0a1966594417,100.34,16595943424,361803776,2.18,809fc872-c8fc-4239-8998-86df77d9fea1,100.3,16595943424,370216960,2.23,ebf0ebd4-bf73-4898-8c64-356f9bc081fd,100.48,16595943424,365023232,2.2
8,2025-03-14T05:38:01.971Z,w1,2025-03-14T05:38:28.667Z,2025-03-14-02-37-50@3,3,38.02,16595943424,2055647232,12.39,0.99,16595943424,83214336,0.5,5528ca50-8e76-4954-9e3f-0a1966594417,145.39,16595943424,407162880,2.45,809fc872-c8fc-4239-8998-86df77d9fea1,150.84,16595943424,415043584,2.5,ebf0ebd4-bf73-4898-8c64-356f9bc081fd,234.15,16595943424,407191552,2.45
9,2025-03-14T05:38:02.975Z,w1,2025-03-14T05:38:29.672Z,2025-03-14-02-37-50@3,3,63.83,16595943424,2165493760,13.05,1.21,16595943424,83300352,0.5,5528ca50-8e76-4954-9e3f-0a1966594417,215.81,16595943424,414330880,2.5,809fc872-c8fc-4239-8998-86df77d9fea1,219.11,16595943424,418668544,2.52,ebf0ebd4-bf73-4898-8c64-356f9bc081fd,217.75,16595943424,409284608,2.47
