Count,ServerTime,WorkerName,WorkerTime,ProcedureId,ActiveProcessingCount,Host_CPU,Host_Memory_Total,Host_Memory_Used,Host_Memory_UsedPercentage,Worker_CPU,Worker_Memory_Total,Worker_Memory_Used,Worker_Memory_UsedPercentage,ProcessingId_1,Processing_CPU_1,Processing_Memory_Total_1,Processing_Memory_Used_1,Processing_Memory_UsedPercentage_1,ProcessingId_2,Processing_CPU_2,Processing_Memory_Total_2,Processing_Memory_Used_2,Processing_Memory_UsedPercentage_2,ProcessingId_3,Processing_CPU_3,Processing_Memory_Total_3,Processing_Memory_Used_3,Processing_Memory_UsedPercentage_3
0,2025-03-14T05:37:53.952Z,w2,2025-03-14T05:38:20.648Z,2025-03-14-02-37-50@3,0,0.59,16595943424,1117827072,6.74,2.63,16595943424,75780096,0.46,,,,,,,,,,,,,,,
1,2025-03-14T05:37:54.956Z,w2,2025-03-14T05:38:21.652Z,2025-03-14-02-37-50@3,0,1,16595943424,1117827072,6.74,20.8,16595943424,75931648,0.46,,,,,,,,,,,,,,,
2,2025-03-14T05:37:55.961Z,w2,2025-03-14T05:38:22.655Z,2025-03-14-02-37-50@3,0,2.52,16595943424,1110224896,6.69,114.8,16595943424,75501568,0.45,,,,,,,,,,,,,,,
3,2025-03-14T05:37:56.966Z,w2,2025-03-14T05:38:23.659Z,2025-03-14-02-37-50@3,0,15.25,16595943424,1109938176,6.69,128.97,16595943424,79519744,0.48,,,,,,,,,,,,,,,
4,2025-03-14T05:37:58.041Z,w2,2025-03-14T05:38:24.738Z,2025-03-14-02-37-50@3,0,16.6,16595943424,1094520832,6.6,32.12,16595943424,81395712,0.49,,,,,,,,,,,,,,,
5,2025-03-14T05:37:59.048Z,w2,2025-03-14T05:38:25.740Z,2025-03-14-02-37-50@3,1,14.1,16595943424,1231937536,7.42,1.19,16595943424,81682432,0.49,24a4060b-24b6-4720-8d7d-f5f331593e77,105.16,16595943424,142127104,0.86,,,,,,,,,,
6,2025-03-14T05:38:00.049Z,w2,2025-03-14T05:38:26.745Z,2025-03-14-02-37-50@3,3,59.67,16595943424,1537429504,9.26,0.83,16595943424,81682432,0.49,a6c3e6d3-6769-473e-9725-535cdc86209e,100.12,16595943424,244178944,1.47,3adbd266-ed9b-46e8-afbd-bb237455c1f7,100.13,16595943424,243245056,1.47,24a4060b-24b6-4720-8d7d-f5f331593e77,99.52,16595943424,250097664,1.51
7,2025-03-14T05:38:01.051Z,w2,2025-03-14T05:38:27.747Z,2025-03-14-02-37-50@3,3,37.7,16595943424,1816371200,10.94,0.8,16595943424,81428480,0.49,a6c3e6d3-6769-473e-9725-535cdc86209e,100.13,16595943424,347971584,2.1,3adbd266-ed9b-46e8-afbd-bb237455c1f7,100.33,16595943424,347865088,2.1,24a4060b-24b6-4720-8d7d-f5f331593e77,100.48,16595943424,356749312,2.15
8,2025-03-14T05:38:02.056Z,w2,2025-03-14T05:38:28.752Z,2025-03-14-02-37-50@3,3,37.95,16595943424,2122883072,12.79,0.88,16595943424,81350656,0.49,a6c3e6d3-6769-473e-9725-535cdc86209e,105.37,16595943424,404238336,2.44,3adbd266-ed9b-46e8-afbd-bb237455c1f7,104.63,16595943424,410021888,2.47,24a4060b-24b6-4720-8d7d-f5f331593e77,157.91,16595943424,403501056,2.43
9,2025-03-14T05:38:03.062Z,w2,2025-03-14T05:38:29.758Z,2025-03-14-02-37-50@3,3,42.15,16595943424,2262011904,13.63,1.2,16595943424,81080320,0.49,a6c3e6d3-6769-473e-9725-535cdc86209e,220.05,16595943424,419409920,2.53,3adbd266-ed9b-46e8-afbd-bb237455c1f7,223.47,16595943424,423329792,2.55,24a4060b-24b6-4720-8d7d-f5f331593e77,224.18,16595943424,406790144,2.45
10,2025-03-14T05:38:04.067Z,w2,2025-03-14T05:38:30.763Z,2025-03-14-02-37-50@3,3,81.15,16595943424,2330345472,14.04,1.08,16595943424,81076224,0.49,a6c3e6d3-6769-473e-9725-535cdc86209e,218.04,16595943424,420511744,2.53,3adbd266-ed9b-46e8-afbd-bb237455c1f7,220.98,16595943424,425443328,2.56,24a4060b-24b6-4720-8d7d-f5f331593e77,218.26,16595943424,407646208,2.46
11,2025-03-14T05:38:05.073Z,w2,2025-03-14T05:38:31.769Z,2025-03-14-02-37-50@3,3,83.21,16595943424,2335232000,14.07,0.98,16595943424,81592320,0.49,a6c3e6d3-6769-473e-9725-535cdc86209e,219.1,16595943424,421490688,2.54,3adbd266-ed9b-46e8-afbd-bb237455c1f7,220.54,16595943424,425676800,2.56,24a4060b-24b6-4720-8d7d-f5f331593e77,217.54,16595943424,408834048,2.46
12,2025-03-14T05:38:06.077Z,w2,2025-03-14T05:38:32.773Z,2025-03-14-02-37-50@3,3,83.71,16595943424,2338062336,14.09,0.95,16595943424,81338368,0.49,a6c3e6d3-6769-473e-9725-535cdc86209e,217.86,16595943424,423596032,2.55,3adbd266-ed9b-46e8-afbd-bb237455c1f7,221.1,16595943424,426745856,2.57,24a4060b-24b6-4720-8d7d-f5f331593e77,219.84,16595943424,408883200,2.46
13,2025-03-14T05:38:07.081Z,w2,2025-03-14T05:38:33.777Z,2025-03-14-02-37-50@3,3,83,16595943424,2342436864,14.11,1.01,16595943424,81588224,0.49,a6c3e6d3-6769-473e-9725-535cdc86209e,220.09,16595943424,424091648,2.56,3adbd266-ed9b-46e8-afbd-bb237455c1f7,222.78,16595943424,427388928,2.58,24a4060b-24b6-4720-8d7d-f5f331593e77,219.38,16595943424,408887296,2.46
14,2025-03-14T05:38:08.086Z,w2,2025-03-14T05:38:34.782Z,2025-03-14-02-37-50@3,3,83.12,16595943424,2342686720,14.12,0.95,16595943424,81072128,0.49,a6c3e6d3-6769-473e-9725-535cdc86209e,225.8,16595943424,424292352,2.56,3adbd266-ed9b-46e8-afbd-bb237455c1f7,226,16595943424,428351488,2.58,24a4060b-24b6-4720-8d7d-f5f331593e77,193.51,16595943424,486088704,2.93
15,2025-03-14T05:38:09.090Z,w2,2025-03-14T05:38:35.785Z,2025-03-14-02-37-50@3,3,82.01,16595943424,2404429824,14.49,14.43,16595943424,81657856,0.49,a6c3e6d3-6769-473e-9725-535cdc86209e,11.26,16595943424,421957632,2.54,3adbd266-ed9b-46e8-afbd-bb237455c1f7,112.95,16595943424,536969216,3.24,24a4060b-24b6-4720-8d7d-f5f331593e77,105.46,16595943424,511315968,3.08
16,2025-03-14T05:38:10.094Z,w2,2025-03-14T05:38:36.789Z,2025-03-14-02-37-50@3,3,39.68,16595943424,2549338112,15.36,168.14,16595943424,118611968,0.71,a6c3e6d3-6769-473e-9725-535cdc86209e,0,16595943424,421957632,2.54,3adbd266-ed9b-46e8-afbd-bb237455c1f7,153.53,16595943424,557023232,3.36,24a4060b-24b6-4720-8d7d-f5f331593e77,199.13,16595943424,535851008,3.23
17,2025-03-14T05:38:11.096Z,w2,2025-03-14T05:38:37.792Z,2025-03-14-02-37-50@3,3,54.98,16595943424,2637864960,15.89,146.36,16595943424,82878464,0.5,a6c3e6d3-6769-473e-9725-535cdc86209e,0,16595943424,421957632,2.54,3adbd266-ed9b-46e8-afbd-bb237455c1f7,231.22,16595943424,575676416,3.47,24a4060b-24b6-4720-8d7d-f5f331593e77,227.9,16595943424,571543552,3.44
18,2025-03-14T05:38:12.101Z,w2,2025-03-14T05:38:38.796Z,2025-03-14-02-37-50@3,3,78.32,16595943424,2645704704,15.94,139.26,16595943424,80490496,0.49,a6c3e6d3-6769-473e-9725-535cdc86209e,0,16595943424,421957632,2.54,3adbd266-ed9b-46e8-afbd-bb237455c1f7,192.77,16595943424,611160064,3.68,24a4060b-24b6-4720-8d7d-f5f331593e77,190.2,16595943424,596504576,3.59
19,2025-03-14T05:38:13.112Z,w2,2025-03-14T05:38:39.801Z,2025-03-14-02-37-50@3,3,65.63,16595943424,2775912448,16.73,141.91,16595943424,84877312,0.51,a6c3e6d3-6769-473e-9725-535cdc86209e,88.26,16595943424,516612096,3.11,3adbd266-ed9b-46e8-afbd-bb237455c1f7,196.25,16595943424,617541632,3.72,24a4060b-24b6-4720-8d7d-f5f331593e77,213.52,16595943424,598495232,3.61
20,2025-03-14T05:38:14.111Z,w2,2025-03-14T05:38:40.805Z,2025-03-14-02-37-50@3,3,79.97,16595943424,2797006848,16.85,139.71,16595943424,89223168,0.54,a6c3e6d3-6769-473e-9725-535cdc86209e,100.88,16595943424,523612160,3.16,3adbd266-ed9b-46e8-afbd-bb237455c1f7,205.09,16595943424,617709568,3.72,24a4060b-24b6-4720-8d7d-f5f331593e77,205.34,16595943424,598245376,3.6
21,2025-03-14T05:38:15.114Z,w2,2025-03-14T05:38:41.809Z,2025-03-14-02-37-50@3,3,83.25,16595943424,2820841472,17,2.63,16595943424,88674304,0.53,a6c3e6d3-6769-473e-9725-535cdc86209e,155.08,16595943424,541425664,3.26,3adbd266-ed9b-46e8-afbd-bb237455c1f7,223.59,16595943424,617885696,3.72,24a4060b-24b6-4720-8d7d-f5f331593e77,223.73,16595943424,598700032,3.61
22,2025-03-14T05:38:16.121Z,w2,2025-03-14T05:38:42.817Z,2025-03-14-02-37-50@3,3,78.59,16595943424,2841784320,17.12,0.91,16595943424,88678400,0.53,a6c3e6d3-6769-473e-9725-535cdc86209e,203.61,16595943424,553103360,3.33,3adbd266-ed9b-46e8-afbd-bb237455c1f7,211.61,16595943424,618774528,3.73,24a4060b-24b6-4720-8d7d-f5f331593e77,212.85,16595943424,598790144,3.61
23,2025-03-14T05:38:17.126Z,w2,2025-03-14T05:38:43.821Z,2025-03-14-02-37-50@3,3,81.85,16595943424,2860773376,17.24,0.98,16595943424,89456640,0.54,a6c3e6d3-6769-473e-9725-535cdc86209e,183.4,16595943424,565035008,3.4,3adbd266-ed9b-46e8-afbd-bb237455c1f7,222.27,16595943424,612343808,3.69,24a4060b-24b6-4720-8d7d-f5f331593e77,217.57,16595943424,593809408,3.58
24,2025-03-14T05:38:18.132Z,w2,2025-03-14T05:38:44.825Z,2025-03-14-02-37-50@3,3,82.17,16595943424,2868764672,17.29,0.98,16595943424,88674304,0.53,a6c3e6d3-6769-473e-9725-535cdc86209e,171.27,16595943424,581373952,3.5,3adbd266-ed9b-46e8-afbd-bb237455c1f7,234.38,16595943424,614068224,3.7,24a4060b-24b6-4720-8d7d-f5f331593e77,166.2,16595943424,611880960,3.69
25,2025-03-14T05:38:19.139Z,w2,2025-03-14T05:38:45.829Z,2025-03-14-02-37-50@3,3,72.88,16595943424,2897489920,17.46,0.9,16595943424,88674304,0.53,a6c3e6d3-6769-473e-9725-535cdc86209e,286.42,16595943424,581722112,3.51,3adbd266-ed9b-46e8-afbd-bb237455c1f7,104.81,16595943424,632012800,3.81,24a4060b-24b6-4720-8d7d-f5f331593e77,103.85,16595943424,614899712,3.71
26,2025-03-14T05:38:20.143Z,w2,2025-03-14T05:38:46.833Z,2025-03-14-02-37-50@3,3,63.75,16595943424,2914709504,17.56,12.24,16595943424,89366528,0.54,a6c3e6d3-6769-473e-9725-535cdc86209e,243.96,16595943424,584179712,3.52,3adbd266-ed9b-46e8-afbd-bb237455c1f7,154.63,16595943424,637497344,3.84,24a4060b-24b6-4720-8d7d-f5f331593e77,188.97,16595943424,619556864,3.73
27,2025-03-14T05:38:21.143Z,w2,2025-03-14T05:38:47.839Z,2025-03-14-02-37-50@3,3,72.42,16595943424,2929512448,17.65,80.99,16595943424,88776704,0.53,a6c3e6d3-6769-473e-9725-535cdc86209e,202.36,16595943424,578957312,3.49,3adbd266-ed9b-46e8-afbd-bb237455c1f7,204.87,16595943424,643039232,3.87,24a4060b-24b6-4720-8d7d-f5f331593e77,189.82,16595943424,626491392,3.77
28,2025-03-14T05:38:22.148Z,w2,2025-03-14T05:38:48.843Z,2025-03-14-02-37-50@3,3,85.48,16595943424,2927919104,17.64,120.34,16595943424,132939776,0.8,a6c3e6d3-6769-473e-9725-535cdc86209e,213.07,16595943424,578412544,3.49,3adbd266-ed9b-46e8-afbd-bb237455c1f7,186.26,16595943424,652247040,3.93,24a4060b-24b6-4720-8d7d-f5f331593e77,137.89,16595943424,631451648,3.8
