Count,ServerTime,WorkerName,WorkerTime,ProcedureId,ActiveProcessingCount,Host_CPU,Host_Memory_Total,Host_Memory_Used,Host_Memory_UsedPercentage,Worker_CPU,Worker_Memory_Total,Worker_Memory_Used,Worker_Memory_UsedPercentage,ProcessingId_1,Processing_CPU_1,Processing_Memory_Total_1,Processing_Memory_Used_1,Processing_Memory_UsedPercentage_1,ProcessingId_2,Processing_CPU_2,Processing_Memory_Total_2,Processing_Memory_Used_2,Processing_Memory_UsedPercentage_2,ProcessingId_3,Processing_CPU_3,Processing_Memory_Total_3,Processing_Memory_Used_3,Processing_Memory_UsedPercentage_3
0,2025-03-14T05:37:53.946Z,rnp4,2025-03-14T05:38:20.644Z,2025-03-14-02-37-50@3,0,2.52,6209675264,805961728,12.98,1.81,6209675264,67964928,1.09,,,,,,,,,,,,,,,
1,2025-03-14T05:37:54.948Z,rnp4,2025-03-14T05:38:21.649Z,2025-03-14-02-37-50@3,0,3,6209675264,805961728,12.98,54.68,6209675264,68759552,1.11,,,,,,,,,,,,,,,
2,2025-03-14T05:37:55.952Z,rnp4,2025-03-14T05:38:22.654Z,2025-03-14-02-37-50@3,0,29,6209675264,806207488,12.98,14.92,6209675264,67792896,1.09,,,,,,,,,,,,,,,
3,2025-03-14T05:37:56.955Z,rnp4,2025-03-14T05:38:23.657Z,2025-03-14-02-37-50@3,0,8.67,6209675264,806256640,12.98,181.07,6209675264,102891520,1.66,,,,,,,,,,,,,,,
4,2025-03-14T05:37:57.959Z,rnp4,2025-03-14T05:38:24.661Z,2025-03-14-02-37-50@3,0,90.95,6209675264,820981760,13.22,193.06,6209675264,70045696,1.13,,,,,,,,,,,,,,,
5,2025-03-14T05:37:58.964Z,rnp4,2025-03-14T05:38:25.665Z,2025-03-14-02-37-50@3,0,99,6209675264,812183552,13.08,77.13,6209675264,89964544,1.45,,,,,,,,,,,,,,,
6,2025-03-14T05:37:59.970Z,rnp4,2025-03-14T05:38:26.672Z,2025-03-14-02-37-50@3,0,38.78,6209675264,815357952,13.13,194.39,6209675264,84385792,1.36,,,,,,,,,,,,,,,
7,2025-03-14T05:38:00.986Z,rnp4,2025-03-14T05:38:27.676Z,2025-03-14-02-37-50@3,0,99.49,6209675264,822738944,13.25,128.27,6209675264,73486336,1.18,,,,,,,,,,,,,,,
8,2025-03-14T05:38:01.983Z,rnp4,2025-03-14T05:38:28.680Z,2025-03-14-02-37-50@3,0,70,6209675264,820641792,13.22,40.53,6209675264,77230080,1.24,,,,,,,,,,,,,,,
9,2025-03-14T05:38:02.982Z,rnp4,2025-03-14T05:38:29.684Z,2025-03-14-02-37-50@3,0,21.69,6209675264,820793344,13.22,15.49,6209675264,76857344,1.24,,,,,,,,,,,,,,,
10,2025-03-14T05:38:03.989Z,rnp4,2025-03-14T05:38:30.690Z,2025-03-14-02-37-50@3,0,20.87,6209675264,820686848,13.22,1.81,6209675264,76976128,1.24,,,,,,,,,,,,,,,
11,2025-03-14T05:38:04.993Z,rnp4,2025-03-14T05:38:31.696Z,2025-03-14-02-37-50@3,0,7.22,6209675264,820678656,13.22,1.68,6209675264,76976128,1.24,,,,,,,,,,,,,,,
12,2025-03-14T05:38:05.997Z,rnp4,2025-03-14T05:38:32.699Z,2025-03-14-02-37-50@3,0,19.64,6209675264,821178368,13.22,1.76,6209675264,76845056,1.24,,,,,,,,,,,,,,,
13,2025-03-14T05:38:07.002Z,rnp4,2025-03-14T05:38:33.704Z,2025-03-14-02-37-50@3,0,4.85,6209675264,821149696,13.22,1.89,6209675264,76812288,1.24,,,,,,,,,,,,,,,
14,2025-03-14T05:38:08.011Z,rnp4,2025-03-14T05:38:34.711Z,2025-03-14-02-37-50@3,0,4.04,6209675264,821141504,13.22,2.09,6209675264,75517952,1.22,,,,,,,,,,,,,,,
15,2025-03-14T05:38:09.014Z,rnp4,2025-03-14T05:38:35.715Z,2025-03-14-02-37-50@3,0,6.93,6209675264,821121024,13.22,2,6209675264,75513856,1.22,,,,,,,,,,,,,,,
16,2025-03-14T05:38:10.018Z,rnp4,2025-03-14T05:38:36.720Z,2025-03-14-02-37-50@3,0,8.82,6209675264,821088256,13.22,3.86,6209675264,75513856,1.22,,,,,,,,,,,,,,,
17,2025-03-14T05:38:11.024Z,rnp4,2025-03-14T05:38:37.726Z,2025-03-14-02-37-50@3,0,50,6209675264,820916224,13.22,3.08,6209675264,75530240,1.22,,,,,,,,,,,,,,,
18,2025-03-14T05:38:12.058Z,rnp4,2025-03-14T05:38:38.759Z,2025-03-14-02-37-50@3,1,95.24,6209675264,844029952,13.59,2.39,6209675264,75563008,1.22,e1517918-f875-47a2-8329-51f8e078f8e5,77.45,6209675264,45527040,0.73,,,,,,,,,,
19,2025-03-14T05:38:13.082Z,rnp4,2025-03-14T05:38:39.782Z,2025-03-14-02-37-50@3,3,94.95,6209675264,892514304,14.37,1.69,6209675264,75563008,1.22,daa4be35-1c9f-40f3-8e97-6846c0641d5d,47.19,6209675264,38817792,0.63,f7f428b1-0d92-40b8-8de0-96a72e13e063,53.97,6209675264,44027904,0.71,e1517918-f875-47a2-8329-51f8e078f8e5,59.95,6209675264,59830272,0.96
20,2025-03-14T05:38:14.102Z,rnp4,2025-03-14T05:38:40.797Z,2025-03-14-02-37-50@3,3,100,6209675264,960135168,15.46,1.74,6209675264,75563008,1.22,daa4be35-1c9f-40f3-8e97-6846c0641d5d,61.43,6209675264,58437632,0.94,f7f428b1-0d92-40b8-8de0-96a72e13e063,66.77,6209675264,65609728,1.06,e1517918-f875-47a2-8329-51f8e078f8e5,63.23,6209675264,76738560,1.24
21,2025-03-14T05:38:15.131Z,rnp4,2025-03-14T05:38:41.832Z,2025-03-14-02-37-50@3,3,100,6209675264,1010683904,16.28,1.76,6209675264,75563008,1.22,daa4be35-1c9f-40f3-8e97-6846c0641d5d,59.83,6209675264,78258176,1.26,f7f428b1-0d92-40b8-8de0-96a72e13e063,66.5,6209675264,79945728,1.29,e1517918-f875-47a2-8329-51f8e078f8e5,63.52,6209675264,93233152,1.5
22,2025-03-14T05:38:16.162Z,rnp4,2025-03-14T05:38:42.863Z,2025-03-14-02-37-50@3,3,100,6209675264,1056616448,17.02,1.85,6209675264,75563008,1.22,daa4be35-1c9f-40f3-8e97-6846c0641d5d,60.97,6209675264,90124288,1.45,f7f428b1-0d92-40b8-8de0-96a72e13e063,60.37,6209675264,93810688,1.51,e1517918-f875-47a2-8329-51f8e078f8e5,69.96,6209675264,113795072,1.83
23,2025-03-14T05:38:17.183Z,rnp4,2025-03-14T05:38:43.884Z,2025-03-14-02-37-50@3,3,100,6209675264,1105035264,17.8,2.06,6209675264,75563008,1.22,daa4be35-1c9f-40f3-8e97-6846c0641d5d,60.94,6209675264,107253760,1.73,f7f428b1-0d92-40b8-8de0-96a72e13e063,64.36,6209675264,105705472,1.7,e1517918-f875-47a2-8329-51f8e078f8e5,66.69,6209675264,123006976,1.98
24,2025-03-14T05:38:18.208Z,rnp4,2025-03-14T05:38:44.908Z,2025-03-14-02-37-50@3,3,100,6209675264,1135337472,18.28,1.95,6209675264,75571200,1.22,daa4be35-1c9f-40f3-8e97-6846c0641d5d,67.4,6209675264,122695680,1.98,f7f428b1-0d92-40b8-8de0-96a72e13e063,55.16,6209675264,118194176,1.9,e1517918-f875-47a2-8329-51f8e078f8e5,69.97,6209675264,128770048,2.07
25,2025-03-14T05:38:19.249Z,rnp4,2025-03-14T05:38:45.949Z,2025-03-14-02-37-50@3,3,100,6209675264,1170096128,18.84,1.87,6209675264,75571200,1.22,daa4be35-1c9f-40f3-8e97-6846c0641d5d,63.71,6209675264,125284352,2.02,f7f428b1-0d92-40b8-8de0-96a72e13e063,62.15,6209675264,123547648,1.99,e1517918-f875-47a2-8329-51f8e078f8e5,64.32,6209675264,136298496,2.19
26,2025-03-14T05:38:20.287Z,rnp4,2025-03-14T05:38:46.982Z,2025-03-14-02-37-50@3,3,100,6209675264,1184837632,19.08,2.45,6209675264,75575296,1.22,daa4be35-1c9f-40f3-8e97-6846c0641d5d,67.4,6209675264,137080832,2.21,f7f428b1-0d92-40b8-8de0-96a72e13e063,60.14,6209675264,133558272,2.15,e1517918-f875-47a2-8329-51f8e078f8e5,63.53,6209675264,142495744,2.29
