Count,ServerTime,WorkerName,WorkerTime,ProcedureId,ActiveProcessingCount,Host_CPU,Host_Memory_Total,Host_Memory_Used,Host_Memory_UsedPercentage,Worker_CPU,Worker_Memory_Total,Worker_Memory_Used,Worker_Memory_UsedPercentage,ProcessingId_1,Processing_CPU_1,Processing_Memory_Total_1,Processing_Memory_Used_1,Processing_Memory_UsedPercentage_1,ProcessingId_2,Processing_CPU_2,Processing_Memory_Total_2,Processing_Memory_Used_2,Processing_Memory_UsedPercentage_2,ProcessingId_3,Processing_CPU_3,Processing_Memory_Total_3,Processing_Memory_Used_3,Processing_Memory_UsedPercentage_3
0,2025-03-14T05:19:53.929Z,w2,2025-03-14T05:20:20.631Z,2025-03-14-02-19-50@1,0,0.56,16595943424,1094586368,6.6,2.6,16595943424,73973760,0.45,,,,,,,,,,,,,,,
1,2025-03-14T05:19:55.934Z,w2,2025-03-14T05:20:22.637Z,2025-03-14-02-19-50@1,0,1.75,16595943424,1087287296,6.55,36.92,16595943424,73576448,0.44,,,,,,,,,,,,,,,
2,2025-03-14T05:19:55.942Z,w2,2025-03-14T05:20:22.638Z,2025-03-14-02-19-50@1,0,0.88,16595943424,1094328320,6.59,36.92,16595943424,73576448,0.44,,,,,,,,,,,,,,,
3,2025-03-14T05:19:56.938Z,w2,2025-03-14T05:20:23.640Z,2025-03-14-02-19-50@1,0,4.78,16595943424,1076985856,6.49,41.15,16595943424,75984896,0.46,,,,,,,,,,,,,,,
4,2025-03-14T05:19:57.942Z,w2,2025-03-14T05:20:24.644Z,2025-03-14-02-19-50@1,0,5.28,16595943424,1078657024,6.5,7.96,16595943424,76378112,0.46,,,,,,,,,,,,,,,
5,2025-03-14T05:19:58.942Z,w2,2025-03-14T05:20:25.645Z,2025-03-14-02-19-50@1,0,1.38,16595943424,1078657024,6.5,20.3,16595943424,78127104,0.47,,,,,,,,,,,,,,,
6,2025-03-14T05:19:59.944Z,w2,2025-03-14T05:20:26.646Z,2025-03-14-02-19-50@1,1,5.86,16595943424,1124384768,6.78,0.62,16595943424,77864960,0.47,dabdf2e8-4d4f-4058-bab6-aa96f7514ca6,202.2,16595943424,151109632,0.91,,,,,,,,,,
7,2025-03-14T05:20:00.956Z,w2,2025-03-14T05:20:27.649Z,2025-03-14-02-19-50@1,1,25.53,16595943424,1254760448,7.56,0.64,16595943424,77860864,0.47,dabdf2e8-4d4f-4058-bab6-aa96f7514ca6,99.32,16595943424,261144576,1.57,,,,,,,,,,
8,2025-03-14T05:20:01.951Z,w2,2025-03-14T05:20:28.651Z,2025-03-14-02-19-50@1,1,12.73,16595943424,1359527936,8.19,0.58,16595943424,78110720,0.47,dabdf2e8-4d4f-4058-bab6-aa96f7514ca6,100.67,16595943424,368771072,2.22,,,,,,,,,,
9,2025-03-14T05:20:02.954Z,w2,2025-03-14T05:20:29.653Z,2025-03-14-02-19-50@1,1,12.8,16595943424,1464102912,8.82,0.67,16595943424,78110720,0.47,dabdf2e8-4d4f-4058-bab6-aa96f7514ca6,192.16,16595943424,417775616,2.52,,,,,,,,,,
10,2025-03-14T05:20:03.957Z,w2,2025-03-14T05:20:30.656Z,2025-03-14-02-19-50@1,1,21.15,16595943424,1482629120,8.93,0.81,16595943424,77791232,0.47,dabdf2e8-4d4f-4058-bab6-aa96f7514ca6,304.89,16595943424,419819520,2.53,,,,,,,,,,
11,2025-03-14T05:20:04.965Z,w2,2025-03-14T05:20:31.657Z,2025-03-14-02-19-50@1,1,42.15,16595943424,1483915264,8.94,0.81,16595943424,78041088,0.47,dabdf2e8-4d4f-4058-bab6-aa96f7514ca6,328.98,16595943424,421138432,2.54,,,,,,,,,,
