Count,ServerTime,WorkerName,WorkerTime,ProcedureId,ActiveProcessingCount,Host_CPU,Host_Memory_Total,Host_Memory_Used,Host_Memory_UsedPercentage,Worker_CPU,Worker_Memory_Total,Worker_Memory_Used,Worker_Memory_UsedPercentage,ProcessingId_1,Processing_CPU_1,Processing_Memory_Total_1,Processing_Memory_Used_1,Processing_Memory_UsedPercentage_1,ProcessingId_2,Processing_CPU_2,Processing_Memory_Total_2,Processing_Memory_Used_2,Processing_Memory_UsedPercentage_2,ProcessingId_3,Processing_CPU_3,Processing_Memory_Total_3,Processing_Memory_Used_3,Processing_Memory_UsedPercentage_3
0,2025-03-14T05:19:53.930Z,w4,2025-03-14T05:20:20.629Z,2025-03-14-02-19-50@1,0,0.49,16595935232,933773312,5.63,2.62,16595935232,76001280,0.46,,,,,,,,,,,,,,,
1,2025-03-14T05:19:55.926Z,w4,2025-03-14T05:20:22.632Z,2025-03-14-02-19-50@1,0,1.63,16595935232,926580736,5.58,37.17,16595935232,76861440,0.46,,,,,,,,,,,,,,,
2,2025-03-14T05:19:55.927Z,w4,2025-03-14T05:20:22.633Z,2025-03-14-02-19-50@1,0,0.5,16595935232,934289408,5.63,37.17,16595935232,76861440,0.46,,,,,,,,,,,,,,,
3,2025-03-14T05:19:56.932Z,w4,2025-03-14T05:20:23.637Z,2025-03-14-02-19-50@1,0,4.3,16595935232,929476608,5.6,40.04,16595935232,77271040,0.47,,,,,,,,,,,,,,,
4,2025-03-14T05:19:57.935Z,w4,2025-03-14T05:20:24.641Z,2025-03-14-02-19-50@1,0,5.39,16595935232,923471872,5.56,7.68,16595935232,78102528,0.47,,,,,,,,,,,,,,,
5,2025-03-14T05:19:58.940Z,w4,2025-03-14T05:20:25.641Z,2025-03-14-02-19-50@1,0,1.38,16595935232,925728768,5.58,23.42,16595935232,77443072,0.47,,,,,,,,,,,,,,,
6,2025-03-14T05:19:59.942Z,w4,2025-03-14T05:20:26.647Z,2025-03-14-02-19-50@1,1,11.2,16595935232,969048064,5.84,0.64,16595935232,77443072,0.47,f32a4cbe-08d5-404b-89cd-1c1981e29c86,154.46,16595935232,152928256,0.92,,,,,,,,,,
7,2025-03-14T05:20:00.946Z,w4,2025-03-14T05:20:27.649Z,2025-03-14-02-19-50@1,1,22.21,16595935232,1078874112,6.5,0.65,16595935232,77438976,0.47,f32a4cbe-08d5-404b-89cd-1c1981e29c86,99.84,16595935232,278736896,1.68,,,,,,,,,,
8,2025-03-14T05:20:01.951Z,w4,2025-03-14T05:20:28.651Z,2025-03-14-02-19-50@1,1,12.83,16595935232,1188777984,7.16,0.61,16595935232,77438976,0.47,f32a4cbe-08d5-404b-89cd-1c1981e29c86,100.68,16595935232,365420544,2.2,,,,,,,,,,
9,2025-03-14T05:20:02.954Z,w4,2025-03-14T05:20:29.654Z,2025-03-14-02-19-50@1,1,12.64,16595935232,1278701568,7.7,0.68,16595935232,77434880,0.47,f32a4cbe-08d5-404b-89cd-1c1981e29c86,215.97,16595935232,413179904,2.49,,,,,,,,,,
10,2025-03-14T05:20:03.956Z,w4,2025-03-14T05:20:30.656Z,2025-03-14-02-19-50@1,1,29.24,16595935232,1315819520,7.93,0.85,16595935232,77332480,0.47,f32a4cbe-08d5-404b-89cd-1c1981e29c86,324.43,16595935232,415657984,2.5,,,,,,,,,,
11,2025-03-14T05:20:04.955Z,w4,2025-03-14T05:20:31.658Z,2025-03-14-02-19-50@1,1,38.88,16595935232,1317359616,7.94,0.77,16595935232,77328384,0.47,f32a4cbe-08d5-404b-89cd-1c1981e29c86,319.54,16595935232,416546816,2.51,,,,,,,,,,
12,2025-03-14T05:20:05.954Z,w4,2025-03-14T05:20:32.659Z,2025-03-14-02-19-50@1,1,38.54,16595935232,1318391808,7.94,0.7,16595935232,77328384,0.47,f32a4cbe-08d5-404b-89cd-1c1981e29c86,268.97,16595935232,481136640,2.9,,,,,,,,,,
13,2025-03-14T05:20:06.956Z,w4,2025-03-14T05:20:33.662Z,2025-03-14-02-19-50@1,1,33.67,16595935232,1393602560,8.4,0.54,16595935232,77328384,0.47,f32a4cbe-08d5-404b-89cd-1c1981e29c86,106.8,16595935232,527118336,3.18,,,,,,,,,,
14,2025-03-14T05:20:07.962Z,w4,2025-03-14T05:20:34.664Z,2025-03-14-02-19-50@1,1,13.46,16595935232,1436024832,8.65,0.51,16595935232,77594624,0.47,f32a4cbe-08d5-404b-89cd-1c1981e29c86,224.17,16595935232,553328640,3.33,,,,,,,,,,
15,2025-03-14T05:20:08.967Z,w4,2025-03-14T05:20:35.665Z,2025-03-14-02-19-50@1,1,27.09,16595935232,1458278400,8.79,5.63,16595935232,77578240,0.47,f32a4cbe-08d5-404b-89cd-1c1981e29c86,266.72,16595935232,585629696,3.53,,,,,,,,,,
16,2025-03-14T05:20:09.966Z,w4,2025-03-14T05:20:36.669Z,2025-03-14-02-19-50@1,1,35.25,16595935232,1484578816,8.95,6.5,16595935232,94015488,0.57,f32a4cbe-08d5-404b-89cd-1c1981e29c86,231.83,16595935232,604925952,3.65,,,,,,,,,,
17,2025-03-14T05:20:10.966Z,w4,2025-03-14T05:20:37.670Z,2025-03-14-02-19-50@1,1,29.55,16595935232,1504018432,9.06,80.69,16595935232,75501568,0.45,f32a4cbe-08d5-404b-89cd-1c1981e29c86,300.8,16595935232,605913088,3.65,,,,,,,,,,
18,2025-03-14T05:20:11.968Z,w4,2025-03-14T05:20:38.673Z,2025-03-14-02-19-50@1,1,48.03,16595935232,1502453760,9.05,0.8,16595935232,75493376,0.45,f32a4cbe-08d5-404b-89cd-1c1981e29c86,311.64,16595935232,605409280,3.65,,,,,,,,,,
19,2025-03-14T05:20:12.972Z,w4,2025-03-14T05:20:39.675Z,2025-03-14-02-19-50@1,1,38.4,16595935232,1503490048,9.06,0.77,16595935232,75235328,0.45,f32a4cbe-08d5-404b-89cd-1c1981e29c86,265.82,16595935232,622239744,3.75,,,,,,,,,,
20,2025-03-14T05:20:13.975Z,w4,2025-03-14T05:20:40.677Z,2025-03-14-02-19-50@1,1,34.94,16595935232,1526349824,9.2,0.52,16595935232,75464704,0.45,f32a4cbe-08d5-404b-89cd-1c1981e29c86,110.67,16595935232,628523008,3.79,,,,,,,,,,
21,2025-03-14T05:20:14.975Z,w4,2025-03-14T05:20:41.680Z,2025-03-14-02-19-50@1,1,12.89,16595935232,1536360448,9.26,0.58,16595935232,75497472,0.45,f32a4cbe-08d5-404b-89cd-1c1981e29c86,247.37,16595935232,631742464,3.81,,,,,,,,,,
22,2025-03-14T05:20:15.977Z,w4,2025-03-14T05:20:42.682Z,2025-03-14-02-19-50@1,1,31.99,16595935232,1541451776,9.29,5.76,16595935232,75108352,0.45,f32a4cbe-08d5-404b-89cd-1c1981e29c86,239.76,16595935232,641441792,3.87,,,,,,,,,,
23,2025-03-14T05:20:16.980Z,w4,2025-03-14T05:20:43.684Z,2025-03-14-02-19-50@1,1,30.23,16595935232,1545052160,9.31,12.22,16595935232,95342592,0.57,f32a4cbe-08d5-404b-89cd-1c1981e29c86,291.94,16595935232,642527232,3.87,,,,,,,,,,
24,2025-03-14T05:20:17.984Z,w4,2025-03-14T05:20:44.687Z,2025-03-14-02-19-50@1,1,30.49,16595935232,1547243520,9.32,77.89,16595935232,76488704,0.46,f32a4cbe-08d5-404b-89cd-1c1981e29c86,314.03,16595935232,641396736,3.86,,,,,,,,,,
