Count,ServerTime,WorkerName,WorkerTime,ProcedureId,ActiveProcessingCount,Host_CPU,Host_Memory_Total,Host_Memory_Used,Host_Memory_UsedPercentage,Worker_CPU,Worker_Memory_Total,Worker_Memory_Used,Worker_Memory_UsedPercentage,ProcessingId_1,Processing_CPU_1,Processing_Memory_Total_1,Processing_Memory_Used_1,Processing_Memory_UsedPercentage_1,ProcessingId_2,Processing_CPU_2,Processing_Memory_Total_2,Processing_Memory_Used_2,Processing_Memory_UsedPercentage_2,ProcessingId_3,Processing_CPU_3,Processing_Memory_Total_3,Processing_Memory_Used_3,Processing_Memory_UsedPercentage_3
1,2025-03-14T05:25:49.232Z,w4,2025-03-14T05:26:15.933Z,2025-03-14-02-25-44@2,0,0.13,16595935232,938782720,5.66,151.45,16595935232,78737408,0.47,,,,,,,,,,,,,,,
2,2025-03-14T05:25:50.234Z,w4,2025-03-14T05:26:16.937Z,2025-03-14-02-25-44@2,0,20.68,16595935232,930242560,5.61,8.94,16595935232,78856192,0.48,,,,,,,,,,,,,,,
3,2025-03-14T05:25:50.238Z,w4,2025-03-14T05:26:16.938Z,2025-03-14-02-25-44@2,0,2.01,16595935232,941494272,5.67,8.94,16595935232,78856192,0.48,,,,,,,,,,,,,,,
4,2025-03-14T05:25:51.239Z,w4,2025-03-14T05:26:17.939Z,2025-03-14-02-25-44@2,0,0.88,16595935232,932241408,5.62,28.87,16595935232,81870848,0.49,,,,,,,,,,,,,,,
5,2025-03-14T05:25:52.238Z,w4,2025-03-14T05:26:18.940Z,2025-03-14-02-25-44@2,0,7.59,16595935232,987070464,5.95,0.75,16595935232,82149376,0.49,,,,,,,,,,,,,,,
6,2025-03-14T05:25:53.243Z,w4,2025-03-14T05:26:19.944Z,2025-03-14-02-25-44@2,2,44.84,16595935232,1220435968,7.35,0.59,16595935232,81899520,0.49,4aecc0a7-d700-4f2c-a3c4-5b842f50d8ca,100.01,16595935232,238903296,1.44,fbddfdf1-5b53-456d-bfc1-8cddb001ed9c,99.74,16595935232,238956544,1.44,,,,,
7,2025-03-14T05:25:54.243Z,w4,2025-03-14T05:26:20.946Z,2025-03-14-02-25-44@2,2,25.06,16595935232,1407352832,8.48,0.63,16595935232,81903616,0.49,4aecc0a7-d700-4f2c-a3c4-5b842f50d8ca,100.59,16595935232,352632832,2.12,fbddfdf1-5b53-456d-bfc1-8cddb001ed9c,100.83,16595935232,347918336,2.1,,,,,
8,2025-03-14T05:25:55.251Z,w4,2025-03-14T05:26:21.950Z,2025-03-14-02-25-44@2,2,25.41,16595935232,1614901248,9.73,0.72,16595935232,81854464,0.49,4aecc0a7-d700-4f2c-a3c4-5b842f50d8ca,132.99,16595935232,407789568,2.46,fbddfdf1-5b53-456d-bfc1-8cddb001ed9c,142.73,16595935232,400977920,2.42,,,,,
9,2025-03-14T05:25:56.250Z,w4,2025-03-14T05:26:22.953Z,2025-03-14-02-25-44@2,2,32.83,16595935232,1725853696,10.4,0.99,16595935232,81764352,0.49,4aecc0a7-d700-4f2c-a3c4-5b842f50d8ca,268.16,16595935232,413347840,2.49,fbddfdf1-5b53-456d-bfc1-8cddb001ed9c,269.99,16595935232,404193280,2.44,,,,,
10,2025-03-14T05:25:57.255Z,w4,2025-03-14T05:26:23.956Z,2025-03-14-02-25-44@2,2,66.92,16595935232,1732284416,10.44,0.95,16595935232,81756160,0.49,4aecc0a7-d700-4f2c-a3c4-5b842f50d8ca,271.23,16595935232,414134272,2.5,fbddfdf1-5b53-456d-bfc1-8cddb001ed9c,268.59,16595935232,406081536,2.45,,,,,
