Count,ServerTime,WorkerName,WorkerTime,ProcedureId,ActiveProcessingCount,Host_CPU,Host_Memory_Total,Host_Memory_Used,Host_Memory_UsedPercentage,Worker_CPU,Worker_Memory_Total,Worker_Memory_Used,Worker_Memory_UsedPercentage,ProcessingId_1,Processing_CPU_1,Processing_Memory_Total_1,Processing_Memory_Used_1,Processing_Memory_UsedPercentage_1,ProcessingId_2,Processing_CPU_2,Processing_Memory_Total_2,Processing_Memory_Used_2,Processing_Memory_UsedPercentage_2,ProcessingId_3,Processing_CPU_3,Processing_Memory_Total_3,Processing_Memory_Used_3,Processing_Memory_UsedPercentage_3
0,2025-03-14T05:25:47.245Z,w2,2025-03-14T05:26:13.942Z,2025-03-14-02-25-44@2,0,0.68,16595943424,1084973056,6.54,10.72,16595943424,73584640,0.44,,,,,,,,,,,,,,,
1,2025-03-14T05:25:48.242Z,w2,2025-03-14T05:26:14.943Z,2025-03-14-02-25-44@2,0,0.89,16595943424,1086775296,6.55,86.56,16595943424,76525568,0.46,,,,,,,,,,,,,,,
2,2025-03-14T05:25:49.248Z,w2,2025-03-14T05:26:15.947Z,2025-03-14-02-25-44@2,0,10.9,16595943424,1092657152,6.58,76.27,16595943424,77557760,0.47,,,,,,,,,,,,,,,
3,2025-03-14T05:25:50.251Z,w2,2025-03-14T05:26:16.950Z,2025-03-14-02-25-44@2,0,10.63,16595943424,1084780544,6.54,23.52,16595943424,77434880,0.47,,,,,,,,,,,,,,,
4,2025-03-14T05:25:51.251Z,w2,2025-03-14T05:26:17.951Z,2025-03-14-02-25-44@2,0,6.86,16595943424,1124241408,6.77,5.9,16595943424,80441344,0.48,,,,,,,,,,,,,,,
5,2025-03-14T05:25:52.261Z,w2,2025-03-14T05:26:18.954Z,2025-03-14-02-25-44@2,2,46.4,16595943424,1346228224,8.11,0.59,16595943424,80441344,0.48,1db4ca7d-1457-435a-8c4b-0df66fcee2f5,100.13,16595943424,182575104,1.1,1743d0ce-9e1e-465a-a43b-9c966212419e,99.99,16595943424,237842432,1.43,,,,,
6,2025-03-14T05:25:53.256Z,w2,2025-03-14T05:26:19.956Z,2025-03-14-02-25-44@2,2,25.28,16595943424,1524957184,9.19,0.65,16595943424,80441344,0.48,1db4ca7d-1457-435a-8c4b-0df66fcee2f5,99.84,16595943424,303669248,1.83,1743d0ce-9e1e-465a-a43b-9c966212419e,100.32,16595943424,343089152,2.07,,,,,
7,2025-03-14T05:25:54.259Z,w2,2025-03-14T05:26:20.960Z,2025-03-14-02-25-44@2,2,25.65,16595943424,1742802944,10.5,0.72,16595943424,80429056,0.48,1db4ca7d-1457-435a-8c4b-0df66fcee2f5,100.12,16595943424,368562176,2.22,1743d0ce-9e1e-465a-a43b-9c966212419e,147.13,16595943424,399134720,2.41,,,,,
8,2025-03-14T05:25:55.263Z,w2,2025-03-14T05:26:21.963Z,2025-03-14-02-25-44@2,2,30.79,16595943424,1828052992,11.02,0.93,16595943424,80412672,0.48,1db4ca7d-1457-435a-8c4b-0df66fcee2f5,217.36,16595943424,408256512,2.46,1743d0ce-9e1e-465a-a43b-9c966212419e,284.83,16595943424,402915328,2.43,,,,,
9,2025-03-14T05:25:56.266Z,w2,2025-03-14T05:26:22.967Z,2025-03-14-02-25-44@2,2,62.47,16595943424,1872175104,11.28,0.98,16595943424,79339520,0.48,1db4ca7d-1457-435a-8c4b-0df66fcee2f5,260.78,16595943424,410951680,2.48,1743d0ce-9e1e-465a-a43b-9c966212419e,262.19,16595943424,405721088,2.44,,,,,
10,2025-03-14T05:25:57.270Z,w2,2025-03-14T05:26:23.970Z,2025-03-14-02-25-44@2,2,67.79,16595943424,1877839872,11.32,0.95,16595943424,79585280,0.48,1db4ca7d-1457-435a-8c4b-0df66fcee2f5,276.52,16595943424,412069888,2.48,1743d0ce-9e1e-465a-a43b-9c966212419e,279.12,16595943424,406011904,2.45,,,,,
11,2025-03-14T05:25:58.273Z,w2,2025-03-14T05:26:24.974Z,2025-03-14-02-25-44@2,2,66.75,16595943424,1879883776,11.33,0.92,16595943424,79343616,0.48,1db4ca7d-1457-435a-8c4b-0df66fcee2f5,269.15,16595943424,413343744,2.49,1743d0ce-9e1e-465a-a43b-9c966212419e,270.66,16595943424,406560768,2.45,,,,,
12,2025-03-14T05:25:59.277Z,w2,2025-03-14T05:26:25.976Z,2025-03-14-02-25-44@2,2,67.82,16595943424,1881165824,11.34,0.83,16595943424,79339520,0.48,1db4ca7d-1457-435a-8c4b-0df66fcee2f5,267.45,16595943424,464109568,2.8,1743d0ce-9e1e-465a-a43b-9c966212419e,171.94,16595943424,491569152,2.96,,,,,
13,2025-03-14T05:26:00.278Z,w2,2025-03-14T05:26:26.979Z,2025-03-14-02-25-44@2,2,59.48,16595943424,2000252928,12.05,0.61,16595943424,79339520,0.48,1db4ca7d-1457-435a-8c4b-0df66fcee2f5,107.45,16595943424,510427136,3.08,1743d0ce-9e1e-465a-a43b-9c966212419e,103.52,16595943424,515948544,3.11,,,,,
14,2025-03-14T05:26:01.289Z,w2,2025-03-14T05:26:27.982Z,2025-03-14-02-25-44@2,2,27.38,16595943424,2099929088,12.65,9.91,16595943424,80306176,0.48,1db4ca7d-1457-435a-8c4b-0df66fcee2f5,179.23,16595943424,533508096,3.21,1743d0ce-9e1e-465a-a43b-9c966212419e,251.2,16595943424,542441472,3.27,,,,,
